,Id,SalePrice
0,2658,176221.09804184327
1,2718,213236.40410051506
2,2414,197812.90459273243
3,1989,113765.93803532468
4,625,182540.6729938289
5,333,93103.9840310684
6,1327,98585.10416241083
7,858,142650.90003431262
8,95,219789.157792225
9,1568,174015.0193770763
10,2482,176890.6068149755
11,1364,132544.01173185173
12,2584,174507.03776431188
13,818,293350.4026321876
14,2673,160661.9550622236
15,2089,104191.2560292586
16,1297,179328.0117396072
17,790,125421.6689730637
18,2616,192841.68823866243
19,720,196310.78302582412
20,222,124752.96383457526
21,557,131986.6028261704
22,1148,210238.5628288919
23,2766,153652.32106946828
24,534,208334.91896529868
25,1452,115531.09678008943
26,630,115886.8362047209
27,2648,115153.97892331134
28,125,151587.67884427542
29,1904,22470.793564365245
30,1670,111232.94736109127
31,756,102830.46795376204
32,717,250252.32187130023
33,1032,144319.48807166424
34,852,228865.79401746544
35,1731,196183.9743114235
36,2639,113046.53081859113
37,2071,73550.93054180953
38,1267,93576.13763986086
39,1851,218370.66877763008
40,567,168808.16967812553
41,2439,221900.64690275514
42,1898,153486.98899374693
43,647,133191.65311828174
44,2256,219754.63979495259
45,979,89441.72042519948
46,1444,227185.6300413867
47,2485,114301.58906004915
48,157,113299.51800661895
49,88,123565.94113714108
50,2003,111122.8369573094
51,186,219191.775910615
52,1425,274930.40885197045
53,2695,123461.43938070745
54,738,100137.81283762353
55,395,152629.4432496056
56,1353,186715.74542163895
57,1878,145464.69759150082
58,390,191493.99666513363
59,1456,244917.14821013948
60,1103,304917.06597878993
61,1387,126047.48389685818
62,2070,131469.54183409153
63,1199,201223.15604844852
64,2479,183213.89702366246
65,501,300970.6901445852
66,2362,74958.92735209654
67,1718,195859.4054665052
68,2188,27624.011218719184
69,1483,149786.06605085463
70,2557,75307.53497296933
71,437,303810.540217377
72,2224,197664.4975633202
73,1628,182840.42715530843
74,397,128305.91090369108
75,587,205971.38984595984
76,2182,508428.12717035273
77,971,130480.82399384608
78,2611,152716.91815085546
79,1887,84959.38827387907
80,2399,305044.6643906663
81,2148,222395.09201989474
82,304,139196.99043934757
83,1997,119522.73355251167
84,2817,105334.97594370542
85,1431,191285.16938693018
86,427,335654.3032119977
87,263,123444.49552183808
88,598,176146.38736444002
89,2895,253889.88181471045
90,687,170947.92922858952
91,1822,117776.53186790098
92,2191,90127.59554398479
93,179,136950.30963632558
94,1009,218307.46912652673
95,2010,113687.43347080797
96,1991,156504.06219738792
97,1411,157644.84617575025
98,1721,257383.87089069723
99,1144,199230.99047987722
100,593,235153.1773791468
101,575,259086.8444859595
102,1249,190039.99725632556
103,1604,118081.32775750733
104,1064,378700.32139632385
105,1923,159670.18010663963
106,1988,82942.84352737281
107,2325,173449.5476492335
108,114,215573.25668915012
109,2700,226267.2070233
