Id,SalePrice
2658,126359.61330586072
2718,202966.27985659652
2414,183953.6451675867
1989,96977.59833619611
625,169255.19485396743
333,100150.76179699539
1327,98438.96636735494
858,149169.8377758859
95,216673.9504787225
1568,149010.24997556148
2482,168741.19439392415
1364,115229.52683270998
2584,163509.0167841313
818,255876.59223347733
2673,151622.41540355457
2089,119902.9519187688
1297,139011.6718099536
790,130254.25271018034
2616,177832.7249596212
720,186476.88708477817
222,150133.5610182505
557,120081.42428150953
1148,204351.61649895913
2766,154429.4299829846
534,184889.59210390475
1452,114502.88994714816
630,140514.0572105752
2648,122350.15641774627
125,178687.40647767205
1904,67888.72775230026
1670,112601.00947619956
756,99842.1835410575
717,211018.09434506288
1032,153649.63671593173
852,212785.60604381116
1731,181498.46890289237
2639,98780.57535514943
2071,96737.36498022138
1267,115067.9055636333
1851,193061.94503332314
567,153278.63213576897
2439,211346.316810547
1898,152798.15346381607
647,133236.5510943192
2256,205670.09313375928
979,98605.97067938057
1444,212688.96901898898
2485,104256.38640400085
157,120773.38175907801
88,128806.31265481842
2003,107726.08476766573
186,185047.19964000955
1425,253585.17366224094
2695,122204.40991907337
738,103947.00388182346
395,144716.79651984325
1353,163681.23981125295
1878,138754.27903993046
390,162555.22787565936
1456,228041.18255319755
1103,297284.12748794386
1387,125631.74915786814
2070,136223.5141262394
1199,181503.0058437654
2479,191096.41840632647
501,295406.9471926448
2362,100236.78457138826
1718,200231.02125844714
2188,73474.02451932691
1483,148700.96067388638
2557,101032.7845481077
437,343278.4232896225
2224,170914.31480829575
1628,170773.70836061187
397,131562.79746422812
587,194535.9427501375
2182,805081.4605379675
971,129138.34413017507
2611,146826.36742008035
1887,103281.50844406789
2399,359818.95775798697
2148,207115.58415558512
304,124094.28876275691
1997,128171.86492955813
2817,129497.17757799049
1431,216157.5941833757
427,376419.49906703096
263,117861.81967535146
598,158248.19868060198
2895,221678.8284381785
687,152009.22698185907
1822,137413.02316496204
2191,110507.52472836606
179,106035.62023357215
1009,206275.58389835947
2010,113022.79754010546
1991,134851.1667753828
1411,171054.18580187514
1721,250148.31533565838
1144,190698.50022162046
593,213745.3649210565
575,329215.7177973642
1249,173049.85254500157
1604,123477.82051971022
1064,559681.6492441603
1923,151717.66892427564
1988,104372.4868626676
2325,169513.98720266248
114,188816.95672829627
2700,199242.7714669629
217,142078.2378770569
343,170662.53316131877
386,255106.6574293958
2005,96851.1769029924
2908,130978.56012252321
1814,229736.29579649083
2446,540926.6398575933
208,128866.65629422534
1679,113947.98084859617
822,335829.516386958
6,183670.16152088428
1781,376004.73670599825
2397,287027.1949808618
2340,313637.42152968224
1618,158863.02727276247
2843,147758.1128358392
1061,367753.2803661706
2786,127506.36584752619
1935,132377.42486412195
1341,116047.43426028984
521,272393.04854853207
2136,130909.77739227336
996,191181.36706787953
227,156153.90014413427
135,170400.6238978993
1167,163825.7723795259
294,227370.05056094553
1776,203036.6088885501
540,174968.35746783795
1717,200231.02125844714
2303,117185.32314848756
116,182214.70579518657
127,136504.03268661207
1371,121295.7588450045
1014,176023.47121684495
1507,108375.3305557507
702,131513.35423595554
750,144462.44554266726
261,150196.94038946467
1559,63518.63645459621
577,233899.54321949594
2812,206463.2900274388
2080,175259.46557513
1368,105548.11963715278
2376,119489.63153926581
659,101001.44146700301
1235,129902.0029227061
332,90710.4054163199
1917,139176.2549087362
2094,244399.35765886182
1460,276232.4434801029
1471,213804.44873204036
1509,120088.72976649775
1922,127009.57252821205
433,541660.4513027807
460,271760.1458505923
1116,243458.5286404116
1137,163145.7206609956
53,177191.10432393372
2354,279311.55810377817
1475,204461.19591179577
1761,614060.8866280825
842,138937.79382319225
2739,188458.23313692043
2509,159961.2497395245
1007,203119.32907655832
2610,184240.5993698949
1952,101629.30385092161
2719,201685.555630362
2921,95231.1311126509
1966,141920.847611169
292,124670.83372754489
1204,191595.46271824662
1829,254675.64502835393
2419,186467.90027698927
391,156119.72676872206
798,119267.53866999966
481,185378.50342848356
193,194716.88336446663
555,120842.79596786942
899,84379.37169253748
2357,179452.94505932328
328,122299.78321285761
1356,103101.24095716256
1154,116862.28487123305
1730,173217.57375540404
2249,135338.86713353003
1119,247820.6063247919
2856,129669.82094697354
1394,152144.185708229
2587,120519.80953713309
61,317740.3232677379
2661,163313.99566886824
2711,140663.92093647798
1147,186365.81023390815
757,134941.05434703175
2623,98310.96581131802
2378,156414.34602953232
1413,132851.7073014328
1722,224757.92066187176
1112,209860.83238437082
1623,176182.85091167572
1201,192382.26079203634
1513,115126.4738460553
957,260019.82224634197
1171,269380.8925178064
1145,200872.43013989885
2726,221919.49953692735
703,148627.84452313493
760,89090.79489694204
1964,136871.47086760242
2512,179418.20734358174
159,146755.53842943304
1281,172776.34905202562
468,174797.06352185633
290,116924.20873408519
665,107853.76773755462
1463,275521.29477122345
1792,226283.15874765816
923,153316.21767008182
500,268450.7712192544
1408,146219.4491550451
331,76686.77691991402
170,109125.04665391233
2192,98828.04432145877
2571,308714.8453830935
2314,157860.55719881685
2647,87079.11296270169
422,400655.7440703239
2457,356407.3941182547
1838,198988.43887549936
2805,246709.50748031595
1645,160439.41850365148
1711,315059.46942227584
2825,248071.72921109037
322,397931.90582127275
2103,257529.19320129085
342,129888.504527088
600,107466.20442707905
488,182636.75569394487
1725,328793.8194978382
2246,275700.73913442204
2847,154818.49529484866
806,241632.90756951633
530,258232.127727641
963,186288.63151324695
2678,84809.3137716622
171,79522.39956184702
2401,408341.04977372265
805,231408.32493085891
2259,210188.1730473789
1748,169043.64348687732
1361,135219.3692595158
1677,123806.81032449727
1406,144036.87190259295
2322,234146.27493930873
688,173515.66755263068
